row,col,head
74,175,1020.296
75,175,1020.902
75,176,1021.69
76,176,1022.446
76,177,1023.307
77,177,1024.229
78,177,1025.053
78,178,1025.95
79,178,1026.745
86,178,1036.17
87,178,1037.039
88,178,1037.893
89,178,1038.748
90,178,1039.175
91,178,1039.472
92,178,1039.202
79,179,1027.588
80,179,1028.398
81,179,1029.066
84,179,1033.565
85,179,1034.343
86,179,1035.255
92,179,1038.506
81,180,1029.943
82,180,1030.875
83,180,1031.729
83,180,1032.65
91,179,1037.799
92,180,1037.065
92,181,1036.398
93,181,1035.632
103,182,1023.92
104,182,1023.195
105,182,1022.384
106,182,1021.574
107,182,1020.763
108,182,1020.179
93,182,1034.918
94,182,1034.153
101,183,1026.204
102,183,1025.563
103,183,1024.791
94,183,1033.284
95,183,1032.506
96,183,1031.695
97,183,1030.884
98,183,1030.157
99,184,1028.48
100,184,1027.667
101,184,1026.924
98,184,1029.341
